,Company Name (legal entity),City,Address
,SALDANHA REAL ESTATE PRIVATE LIMITED,Mumbai,"SALCETTE CATHOLIC CHS, FLAT NO.1, PLOT NO.29, 56, HILL ROAD, OPP. BATA SHOE SHOP, BAND,RA (WEST),MUMBAI,Mumbai City,Maharashtra,400050-India"
,NTH VENTURE PRIVATE LIMITED,Mumbai,"801/802, Tulsani Chambers, 8 th Floor, Free Press Journal Marg, Nariman Point,, Mumbai,Mumbai,Mumbai City,Maharashtra,400021-India"
,BLUE GARDEN ESTATES PRIVATE LIMITED,Mumbai,"OFFICE NO. 09, FIRST FLOOR, HARMONY MALL NEAR GOREGAON BUS DEPOT, GOREGAON LINK R,OAD,MUMBAI,Mumbai City,Maharashtra,400104-India"
,ART ESTATES PRIVATE LIMITED,Pune,"OFFICE NO10 AGARKAR BHAVANLBS ROAD,PUNE,Pune,Maharashtra,411030-India"
,ARTARNA MULTI TRADING PRIVATE LIMITED,Mumbai,"OFFICE NO E-403,4TH FLOOR,MAHALAXMI SRA CHS LTD PANDURANG BUDHKAR MARG,WORLI,Maharashtra,400030-India"
,WALNUT CONSULTANCY SERVICES PRIVATE LIMITED,Mumbai,"503, Avior, Nirmal Galaxy,Opp Johnson & Johnson, LBS Marg, Mulund West,,MUMBAI,Mumbai City,Maharashtra,400080-India"
,WARP & WEFT ENTERPRISES PRIVATE LIMITED,Mumbai,"Unit No. 1103, Hubtown Viva, Off Western Express Highway, Andheri Eas,t.,MUMBAI,Mumbai City,Maharashtra,400060-India"
,ATULYA VENTURES PRIVATE LIMITED,Mumbai,"322, FLOOR-3, PRABHADEVI INDUSTRIAL ESTATE VEERSAVARKAR MARG, PRABHADEVI,MUMBAI,Mumbai City,Maharashtra,400025-India"
,JAGMA SYSTEM AND SOLUTIONS PRIVATE LIMITED,Mumbai,"FLAT NO. B-303, ZION HERALD A, RAMESHWAR NAGAR, PIPE LINE ROAD, ANANDVALI,,NASHIK,Nashik,Maharashtra,422013-India"
,SCOTBAY ENTERPRISES PRIVATE LIMITED,Mumbai,"404/405 A Wing, Building No.23, Samarth Angan III Off K L Walawalkar Rd Andheri,Mumbai,Mumbai City,Maharashtra,400053-India"
,TRY ACE PRIVATE LIMITED,Mumbai,"B/305, YAMUNA TOWER, JANGID COMPLEX OPP JAMMU KASHMIR BANK, MTNL ROAD, MIRA,ROAD EAST,THANE,Mumbai City,Maharashtra,401107-India"
,CAPRICH CONSULTANCY PRIVATE LIMITED,Mumbai,"Shop No.8, 6829,First Floor, Ashok Plaza Opp. Majestic Theater, M G Road,JALNA,Jalna,Maharashtra,431203-India"
,TECHVIVE SOLUTIONS PRIVATE LIMITED,Mumbai,"Shop no- 01, Ridhi Siddhi Complex, Ridhi BLDG No-1, Nr. Ration SHO,,Vasai Road,Thane,Maharashtra,401208-India"
,SHIMSHON ADVISORY PRIVATE LIMITED,Mumbai,"601, Gayatri CHS LTD. Jayraj Nagar, Vazira Naka, Borivali West,Mumbai,Mumbai City,Maharashtra,400092-India"
,DSPS TECH PLATFORM PRIVATE LIMITED,Mumbai,"1201-1202, 12th Floor, Wing A, One BKC, G Block Plot No. 66, Bandra Kurla Complex, Bandr,a (East),Mumbai,Mumbai City,Maharashtra,400051-India"
,NIVEZA INDIA PRIVATE LIMITED,Pune,"Teerth Technospace Office Teerth2work No. B 104,First Floor Sr. No. 103,,Haveli,Pune,Maharashtra,411045-India"
,NILESH GAIKWAD GROUP PRIVATE LIMITED,Pune,"9 SADASHIV PETH 10/11 KELGA SALES SHASTRI,PUNE,Pune,Maharashtra,411030-India"
,MEGASTEPS INFRAPOWER & MULTITRADING PRIVATE LIMITED,Pune,"OFFICE NO. 1, SN. 57/3, MAYURA VIHAR BLG-Q KOTHRUD,PUNE,Pune,Maharashtra,411029-India"
,AMFLOW EXIM PRIVATE LIMITED,Pune,"Icon Tower Plot No.B of 702, Sr No. 114/5/1 114/6/3115/1/1115/2, Baner Road, Oppos,ite KFC,Pune,Pune,Maharashtra,411045-India"
