,Company Name (legal entity),City,Address,Official company website,What the business does,Who its customers are
,SALDANHA REAL ESTATE PRIVATE LIMITED,Mumbai,"SALCETTE CATHOLIC CHS, FLAT NO.1, PLOT NO.29, 56, HILL ROAD, OPP. BATA SHOE SHOP, BAND,RA (WEST),MUMBAI,Mumbai City,Maharashtra,400050-India",,"Saldanha Real Estate provides property management and brokerage services, specializing in residential and vacation home sales in coastal regions.",Customers include residential buyers and vacation home purchasers in coastal regions.
,NTH VENTURE PRIVATE LIMITED,Mumbai,"801/802, Tulsani Chambers, 8 th Floor, Free Press Journal Marg, Nariman Point,, Mumbai,Mumbai,Mumbai City,Maharashtra,400021-India",,"Pice is a digital platform that offers GST‑related services such as GST number search, GST payments, automated payment reminders, invoice sharing, and a suite of financial calculators for businesses.","Trusted by over 100,000 SMEs for all business needs, providing GST and financial tools to small and medium enterprises."
,BLUE GARDEN ESTATES PRIVATE LIMITED,Mumbai,"OFFICE NO. 09, FIRST FLOOR, HARMONY MALL NEAR GOREGAON BUS DEPOT, GOREGAON LINK R,OAD,MUMBAI,Mumbai City,Maharashtra,400104-India",,Blue Garden Estates Private Limited is a real‑estate company engaged in property development and rental services.,"Likely serves property buyers, tenants, and investors in the Mumbai region."
,ART ESTATES PRIVATE LIMITED,Pune,"OFFICE NO10 AGARKAR BHAVANLBS ROAD,PUNE,Pune,Maharashtra,411030-India",,"ART ESTATES PRIVATE LIMITED specializes in developing, constructing, and managing residential and commercial real estate projects, offering comprehensive property solutions and general construction services.","Likely serves residential and commercial property buyers, developers, and corporate tenants in the real estate and construction sectors."
,ARTARNA MULTI TRADING PRIVATE LIMITED,Mumbai,"OFFICE NO E-403,4TH FLOOR,MAHALAXMI SRA CHS LTD PANDURANG BUDHKAR MARG,WORLI,Maharashtra,400030-India",,"ARTARNA MULTI TRADING PRIVATE LIMITED is a private company engaged in legal services, including activities such as those rendered by advocates, barristers, solicitors, pleaders, and mukhtiars.",Likely serves individuals and businesses seeking legal representation and counsel.
,WALNUT CONSULTANCY SERVICES PRIVATE LIMITED,Mumbai,"503, Avior, Nirmal Galaxy,Opp Johnson & Johnson, LBS Marg, Mulund West,,MUMBAI,Mumbai City,Maharashtra,400080-India",http://www.walnutcs.com/,"Walnut Consultancy Services Pvt Ltd is a leading consultancy firm that provides comprehensive solutions to business challenges, offering services such as CFO services, manpower solutions, registered valuer services, debt & equity financing, and management consultancy.","Businesses of all sizes—from startups to large multinational corporations—across industries including technology, healthcare, finance, and manufacturing."
,WARP & WEFT ENTERPRISES PRIVATE LIMITED,Mumbai,"Unit No. 1103, Hubtown Viva, Off Western Express Highway, Andheri Eas,t.,MUMBAI,Mumbai City,Maharashtra,400060-India",,"WARP & WEFT ENTERPRISES PRIVATE LIMITED is a private company engaged in business services, as indicated by its principal activity classification under NIC code 74.","Likely serves other businesses and organizations that require business services such as consulting, administrative support, or related professional services."
,ATULYA VENTURES PRIVATE LIMITED,Mumbai,"322, FLOOR-3, PRABHADEVI INDUSTRIAL ESTATE VEERSAVARKAR MARG, PRABHADEVI,MUMBAI,Mumbai City,Maharashtra,400025-India",,"Atulya Ventures Pvt Ltd is a rural development company that offers a model called AURUM to connect rural entrepreneurs with urban investors, providing financial products and services to underserved retail customers and acting as a business model provider across sectors such as financial services, entertainment, e‑governance, travel, and utility bills.","The company serves unserved and underserved rural retail customers, rural entrepreneurs who act as distribution channels, and urban investors who invest in the captured market."
,JAGMA SYSTEM AND SOLUTIONS PRIVATE LIMITED,Mumbai,"FLAT NO. B-303, ZION HERALD A, RAMESHWAR NAGAR, PIPE LINE ROAD, ANANDVALI,,NASHIK,Nashik,Maharashtra,422013-India",,,
,SCOTBAY ENTERPRISES PRIVATE LIMITED,Mumbai,"404/405 A Wing, Building No.23, Samarth Angan III Off K L Walawalkar Rd Andheri,Mumbai,Mumbai City,Maharashtra,400053-India",,"Scotbay Enterprises Private Limited provides legal services, including those rendered by advocates, barristers, solicitors, pleaders, and mukhtiars.","Likely serves individuals, businesses, and organizations requiring legal representation and counsel."
,TRY ACE PRIVATE LIMITED,Mumbai,"B/305, YAMUNA TOWER, JANGID COMPLEX OPP JAMMU KASHMIR BANK, MTNL ROAD, MIRA,ROAD EAST,THANE,Mumbai City,Maharashtra,401107-India",,"Try Ace Private Limited offers professional services in Thane, Maharashtra, India, specializing in accounting, legal, and tax consulting.","Likely serves small to medium enterprises, startups, and individuals seeking accounting, legal, and tax advisory services."
,CAPRICH CONSULTANCY PRIVATE LIMITED,Mumbai,"Shop No.8, 6829,First Floor, Ashok Plaza Opp. Majestic Theater, M G Road,JALNA,Jalna,Maharashtra,431203-India",,"CAPRICH CONSULTANCY PRIVATE LIMITED is a legal services firm that provides legal assistance and representation, including services rendered by advocates, barristers, solicitors, pleaders, and mukhtiars.","Likely serves businesses, corporations, and individuals requiring legal services such as advocacy, litigation support, and corporate legal counsel."
,TECHVIVE SOLUTIONS PRIVATE LIMITED,Mumbai,"Shop no- 01, Ridhi Siddhi Complex, Ridhi BLDG No-1, Nr. Ration SHO,,Vasai Road,Thane,Maharashtra,401208-India",,,
,SHIMSHON ADVISORY PRIVATE LIMITED,Mumbai,"601, Gayatri CHS LTD. Jayraj Nagar, Vazira Naka, Borivali West,Mumbai,Mumbai City,Maharashtra,400092-India",,,
,DSPS TECH PLATFORM PRIVATE LIMITED,Mumbai,"1201-1202, 12th Floor, Wing A, One BKC, G Block Plot No. 66, Bandra Kurla Complex, Bandr,a (East),Mumbai,Mumbai City,Maharashtra,400051-India",,DSPS TECH PLATFORM PRIVATE LIMITED is a private company incorporated in Mumbai that provides legal services.,Likely serves individuals and businesses seeking legal services.
,NIVEZA INDIA PRIVATE LIMITED,Pune,"Teerth Technospace Office Teerth2work No. B 104,First Floor Sr. No. 103,,Haveli,Pune,Maharashtra,411045-India",,"Niveza is a fintech company based in Pune that offers research, advisory, and financial technology services, including stock picks and investment recommendations, backed by a money‑back guarantee.",Likely serves individual retail investors and institutional investors seeking high‑performing stock picks and investment advisory services in India.
,NILESH GAIKWAD GROUP PRIVATE LIMITED,Pune,"9 SADASHIV PETH 10/11 KELGA SALES SHASTRI,PUNE,Pune,Maharashtra,411030-India",https://captainnileshholidays.com,"Captain Nilesh Holidays is a travel agency based in Pune that offers domestic and international tour packages, providing personalized travel planning and booking services. The company emphasizes ethical and sustainable travel practices, transparent pricing, and safety to create memorable journeys for its clients.","Customers include individual travelers, families, and groups of friends seeking domestic and international tour packages and customized travel experiences."
,MEGASTEPS INFRAPOWER & MULTITRADING PRIVATE LIMITED,Pune,"OFFICE NO. 1, SN. 57/3, MAYURA VIHAR BLG-Q KOTHRUD,PUNE,Pune,Maharashtra,411029-India",,"MEGASTEPS INFRAPOWER & MULTITRADING PRIVATE LIMITED provides legal services, including those rendered by advocates, barristers, solicitors, pleaders, and mukhtiars.","Likely served industries include individuals, businesses, and corporate entities requiring legal services."
,AMFLOW EXIM PRIVATE LIMITED,Pune,"Icon Tower Plot No.B of 702, Sr No. 114/5/1 114/6/3115/1/1115/2, Baner Road, Oppos,ite KFC,Pune,Pune,Maharashtra,411045-India",,"Amflow Exim Private Limited provides professional services in Pune, Maharashtra, India.","Likely serves businesses and individuals requiring professional services such as accounting, legal, and tax consulting in the Pune region."
,PROPHANDY TECHNOLOGIES PRIVATE LIMITED,Pune,"Fiesta flat no B 802 Sr no. 35/2/1/2 Nr Roharsh Motors Baner,PUNE,Pune,Maharashtra,411045-India",,"Prophandy Technologies Private Limited provides a range of maintenance and improvement services, including solar panel installation and maintenance, civil works, water tank cleaning, roof waterproofing, pest control, fabrication, housekeeping, and CCTV installation for residential, commercial, and industrial spaces.","The company serves residential, commercial, and industrial establishments, having worked with over 100 large customers such as Rohan Madhuban Society, Balmoral Society, Epsom Society, and other residential societies."
,NARICHANIA CONSULTANCY AND AGENCY PVT LTD,Mumbai,"59 LAXMI INSURANCE BLDGSIR P M ROAD FORT,MUMBAI,Maharashtra,400001-India",,NARICHANIA & NARICHANIA is a maritime law firm that provides legal services related to shipping and maritime matters.,"Likely serves shipping companies, maritime insurers, port authorities, and other stakeholders in the maritime industry."
,OM ELECTROTECH SOLUTIONS PRIVATE LIMITED,Pune,"PLOT NO 32 SHRI TULJAI MSEBHOUSING SOC NEAR H T LINE VISHRAMBAG,SANGLI,Maharashtra,416415-India",,,
,RAHUL PHOTOGRAPHIC COMPANY PRIVATE LIMITED,Mumbai,"206, 2ND FLOOR, INSPIRE HUB, ADANI WESTERN HEIGHT FOUR BGLWS, ANDHERI WEST,MUMBAI,Mumbai City,Maharashtra,400058-India",,The company is listed as a chemical manufacturing firm.,"Likely serves industries that require chemical products, such as manufacturing, pharmaceuticals, and agriculture."
,VIDHYA ACCOUNTS CONSULTANTS PRIVATE LIMITED,Mumbai,"B-22 ROHINI SEC-VSRISHTI RESIDENTIAL COMPLEX MIRA ROAD E,DIST-THANE,Maharashtra,401107-India",,"Vidhya Accounts Consultants Private Limited is a business services company registered in Maharashtra, India.",Likely serves other businesses and organizations in Maharashtra requiring corporate services.
