,Company Name (legal entity),City,Address,Status,Found URLs
,SALDANHA REAL ESTATE PRIVATE LIMITED,Mumbai,"SALCETTE CATHOLIC CHS, FLAT NO.1, PLOT NO.29, 56, HILL ROAD, OPP. BATA SHOE SHOP, BAND,RA (WEST),MUMBAI,Mumbai City,Maharashtra,400050-India",NOT_FOUND,https://www.thecompanycheck.com/company/saldanha-real-estate-private-limited/U70102MH2015PTC265382; https://www.tofler.in/saldanha-real-estate-private-limited/company/U70102MH2015PTC265382; https://www.masterdata.in/company/saldanha_real_estate_private_limited/U70102MH2015PTC265382; https://tracxn.com/d/legal-entities/india/saldanha-real-estate-private-limited/__onJvpEp0UAAYL9bP3l9z8QcQsTy6gkovH9iyTBY3enM; https://www.sensibook.com/companies/1145159/U70102MH2015PTC265382/SALDANHA-REAL-ESTATE-PRIVATE-LIMITED
,NTH VENTURE PRIVATE LIMITED,Mumbai,"801/802, Tulsani Chambers, 8 th Floor, Free Press Journal Marg, Nariman Point,, Mumbai,Mumbai,Mumbai City,Maharashtra,400021-India",NOT_FOUND,https://zauba.company/company/nth_venture_private_limited/U70102MH2015PTC270072; https://www.thecompanycheck.com/company/nth-venture-private-limited/U70102MH2015PTC270072; https://3ci.in/8-company/1509525-nth-venture-private-limited-u70102mh2015ptc270072; https://www.addressadda.com/company/maharashtra/nth-venture-private-limited-U70102MH2015PTC270072; https://piceapp.com/gst-number-search/nth-venture-private-limited-27aafcn0988c1zf/
,BLUE GARDEN ESTATES PRIVATE LIMITED,Mumbai,"OFFICE NO. 09, FIRST FLOOR, HARMONY MALL NEAR GOREGAON BUS DEPOT, GOREGAON LINK R,OAD,MUMBAI,Mumbai City,Maharashtra,400104-India",NOT_FOUND,https://www.sensibook.com/companies/1148276/U70102MH2016PTC274702/BLUE-GARDEN-ESTATES-PRIVATE-LIMITED; https://www.addressadda.com/company/maharashtra/blue-garden-estates-private-limited-U70102MH2016PTC274702.php; https://www.thecompanycheck.com/charges/blue-garden-estates/U70102MH2016PTC274702; https://www.squareyards.com/mumbai-residential-property/blue-gardenia/103578/project; https://www.nobroker.in/blue-gardenia-tardeo_mumbai-prjt-63a95b657ec55900016a8d34
,ART ESTATES PRIVATE LIMITED,Pune,"OFFICE NO10 AGARKAR BHAVANLBS ROAD,PUNE,Pune,Maharashtra,411030-India",NOT_FOUND,https://qorpiq.com/company/art-estates-private-limited/U70102PN2000PTC014558; https://www.sensibook.com/companies/1148279/U70102PN2000PTC014558/ART-ESTATES-PRIVATE-LIMITED; https://www.artestates.co/; http://www.datalog.co.uk/browse/detail.php/CompanyNumber/INU70102014558/ART+ESTATES+PRIVATE+LIMITED; https://mycorporateinfo.com/business/art-estates-private-limited
,ARTARNA MULTI TRADING PRIVATE LIMITED,Mumbai,"OFFICE NO E-403,4TH FLOOR,MAHALAXMI SRA CHS LTD PANDURANG BUDHKAR MARG,WORLI,Maharashtra,400030-India",NOT_FOUND,https://zauba.company/company/artarna_multi_trading_private_limited/U74110MH2011PTC215153; https://www.thecompanycheck.com/company/artarna-multi-trading-private-limited/U74110MH2011PTC215153; https://www.masterdata.in/company/artarna_multi_trading_private_limited/U74110MH2011PTC215153; https://qorpiq.com/company/artarna-multi-trading-private-limited/U74110MH2011PTC215153; https://corpintel.io/ARTARNA-MULTI-TRADING-PRIVATE-LIMITED-U74110MH2011PTC215153
,WALNUT CONSULTANCY SERVICES PRIVATE LIMITED,Mumbai,"503, Avior, Nirmal Galaxy,Opp Johnson & Johnson, LBS Marg, Mulund West,,MUMBAI,Mumbai City,Maharashtra,400080-India",FOUND,http://www.walnutcs.com/; https://qorpiq.com/company/walnut-consultancy-services-private-limited/U74110MH2011PTC224131; https://tracxn.com/d/legal-entities/india/walnut-consultancy-services-private-limited/__OwPTjmTAgi10T4B6aNFkq4kqOHLKDJ_wgQjhS_MPEek; https://find-and-update.company-information.service.gov.uk/company/06734179
,WARP & WEFT ENTERPRISES PRIVATE LIMITED,Mumbai,"Unit No. 1103, Hubtown Viva, Off Western Express Highway, Andheri Eas,t.,MUMBAI,Mumbai City,Maharashtra,400060-India",NOT_FOUND,https://www.thecompanycheck.com/company/warp-weft-enterprises-private-limited/U74110MH2013PTC242166; https://www.tofler.in/warp-and-weft-enterprises-private-limited/company/U74999MH2013PTC242166; https://mycorporateinfo.com/business/warp--weft-enterprises-private-limited; https://qorpiq.com/company/warp-weft-enterprises-private-limited/U74110MH2013PTC242166; https://www.quickcompany.in/company/warp-weft-enterprises-private-limited
,ATULYA VENTURES PRIVATE LIMITED,Mumbai,"322, FLOOR-3, PRABHADEVI INDUSTRIAL ESTATE VEERSAVARKAR MARG, PRABHADEVI,MUMBAI,Mumbai City,Maharashtra,400025-India",NOT_FOUND,https://in.linkedin.com/company/atulya-ventures; https://www.quickcompany.in/trademarks/3040450-m-s-atulya-ventures-private-limited; https://linkedin.com/in/nilesh-kerkar-204a5960; https://linkedin.com/; https://linkedin.com/about; https://linkedin.com/contact; https://linkedin.com/about-us; https://linkedin.com/about/; https://linkedin.com/contact-us; https://linkedin.com/contact/; https://housing.com/about; https://atulventures.com/
,JAGMA SYSTEM AND SOLUTIONS PRIVATE LIMITED,Mumbai,"FLAT NO. B-303, ZION HERALD A, RAMESHWAR NAGAR, PIPE LINE ROAD, ANANDVALI,,NASHIK,Nashik,Maharashtra,422013-India",NOT_FOUND,https://gstpan.com/gst/27AADCJ9517H1ZC-jagma-system-and-solutions-private-limited; https://www.jagmaconsulting.com/; https://jasma.com/; https://www.jagsoftware.in/; https://in.linkedin.com/
,SCOTBAY ENTERPRISES PRIVATE LIMITED,Mumbai,"404/405 A Wing, Building No.23, Samarth Angan III Off K L Walawalkar Rd Andheri,Mumbai,Mumbai City,Maharashtra,400053-India",NOT_FOUND,https://www.infoqik.com/company/u74110mh2017ptc296777/scotbay-enterprises-private-limited.html; https://gstpan.com/pan/AAYCS8826M; https://www.indiamart.com/s-benterprisesmaharashtra/profile.html; https://www.scottenterprises.us/
